ID;SrcDatabase;Title;Author;Affiliation;Literature Source;Keyword;Abstract;PubTime;Year;PageCount;Abstract_Orig
P413;硕士;从《民报》看留日革命派的日本认识;邱扦;浙江工商大学;浙江工商大学;"《民报》;;革命;;涉日报道";"民报于1905年11月创刊于东京,作为同盟会的机关刊物,该刊是一份大型政论时事性刊物,设有论说、时评、谈丛、纪事等栏目,民报以宣传孙中山三民主义为宗旨,力主推翻清王朝,建立共和国,成为辛亥革命之前最为风行、最有影响的期刊。民报中包含大量与日本相关的论说,内容丰富,涵盖了日本的政治、经济、思想文化各个方面,构建起了多层面的日本形象,给当时的中国人带来了大量日本相关的国情信息,同时也为现代研究近代革命群体的对日认知提供了珍贵的史料,当前学界对民报的研究颇多,大多集中民报的革命思想、对辛亥革命的影响、与新民丛报的大论战研究等,但少有以民报为中心研究留日革命群体的日本认识。本文通过探讨民报的涉日报道的相关论述,从而勾勒出近代日本形象,并从中分析留日革命群体的日本认识。本文的结构大致如下:引言介绍研究背景,分析本研究的理论价值和现实意义,并综述研究现状和阐述本论文的研究方法。第一章首先介绍民报的创办背景和概况,以及革命派与日本的渊源,其次分析民报中涉日报道的特点;第二章聚焦民报中涉日政治角度报道,从宪法、军事改革、对外关系三方面分析留日革命群体的日本认识;第三章聚焦民报中涉日经济角度报道,从日本的土地改革、铁路、工业等方面分析留日革命群体的日本认识;第四章聚焦民报中涉日思想文化角度报道,从汉字改革、佛教与无政府主义、社会主义思潮等方面分析分子留日革命群体的日本认识;第五章总结民报中关于日本认识的具体结论。本文认为民报中革命派的日本认识,实际上是对如何构建中国未来蓝图的思考。师日的同时也客观认识到日本资本主义发展的弊端,并对日本对外扩张、侵略中国具有一定的警惕性。";2018-12-01;2019;;
P093;期刊;近代留日学生的革命性——对《浙江潮》编辑群的历史考察;"刘训华;";"宁波大学教师教育学院;";江西社会科学;"近代留日学生;;《浙江潮》;;编辑群;;学生革命";浙江潮编辑群是近代中国历史上非常活跃的一个群体。他们在短暂的一年办刊时间里,以期刊为阵地,发表了大量倾向革命的文章,是近代留日学生文本革命的典型。浙江潮编辑群的形成具有复杂的历史共性与个性特点,他们的思想在倾向革命的同时,仍有青年人所特有的稚嫩和时代的弱根性。以浙江潮编辑群为代表的近代留日学生所掀起的文本革命,具有科学性和国际视野的特点,地域特色鲜明。不仅对辛亥革命产生了重要的历史影响,同时对其后的思想解放和革命思潮,均有积极的示范效应。;2014-03-15;2014;125-129;
P374;期刊;清末第一个以省区命名的留日学生刊物——《湖北学生界》;"黄国华;";历史教学;历史教学;"《湖北学生界》;撰稿者;帝国主义;留日学生;第一个;";湖北学生界于1903年1月(光绪二十八年底)在日本东京创刊。是当时最早的以省区命名的留日学生的革命刊物。 1901年辛丑条约签定后,中国半殖民地化进一步加深,清朝统治集团的腐朽和可耻的卖国政策,使阶级矛盾、民族矛盾愈益激化。许多知识分子抱着探求救国道路的;1980-04-30;1980;33-38;
P015;期刊;来自东瀛的“晋音”：清末山西留日学生的报刊实践;"宋扬;";"兰州大学历史文化学院;";新闻知识;"山西留日学生;;《第一晋话报》;;《晋乘》;;清末报刊";第一晋话报与晋乘是由清末山西留日学生同乡会在日创办、印刷，回国发行的革命报刊。其虽发行时间较短，但内容丰富，构建了全国层面的山西认同，言明救山西与救中国一体，并寻找救国之道，欲以唤醒广大民众。由于该报刊读者群体与预期不符及存在时间过短，因此未达到最初预期目标，影响力较小。作为来自东瀛的“晋音”，第一晋话报晋乘是清末山西舆论界的一道亮色，是山西籍留日学生对民族危机的直接反映，也体现了清末多个阶层的协响，是山西留日学生尝试救国的一次有益探索。;2022-09-15;2022;69-78;
P431;辑刊;乘舟浮海中国行——日本殖民台湾时期留日学生在中国大陆活动之状况(1895~1945);"卞凤奎;";"台湾海洋大学海洋文化研究所;";台湾历史研究;"台湾留日学生;;中国大陆;;移民活动;;国家认同";"马关条约签订以后,台湾为日本所统治。虽然台湾人民被迫成为""日本臣民"",并且台湾总督府为要掌控台湾人民的动态,制定了种种法规,以达到台湾百姓与中国大陆隔离之目的,但台湾百姓与中国大陆的关系并未因此切断,即使远赴日本的留学生,对于中国大陆的文化情感仍是无法割舍。台湾留学生远赴异地求学的同时,仍与中国大陆有相当密切的关系,除有为展现对祖国之认同与效忠,实际参与抗日活动之外,亦有亲赴中国大陆,从事法政、教职、医业、求学、商业、文化、体育、警务及传教等工作者。本文系探讨日本殖民台湾时期,日本政府当局虽制定种种法令,阻止台湾人民与中国大陆亲近接触,但留学日本之台湾青年,由于前揭各种之目的,仍前往中国大陆进行各种活动之相关状况。";2014-12-31;2014;;
P334;期刊;清末留日学生运动对辛亥革命的推动;李本义;湖北大学学报(哲学社会科学版);湖北大学学报(哲学社会科学版);"留日学生;革命斗争;同盟会;二十世纪之支那;";清末留日学生运动首先是从组织爱国团体开始的。通过组建社团,留学生的反清爱国之举才由分散的行为成为一种集体行为,进而成为一种革命运动。在辛亥革命爆发前,留学生的革命运动造成了未雨绸缪之势。 最早的留学生爱国团体是1900年留日学生在日本东京建立的励志会。它以“联络感情,策励志节”为宗旨,发刊译书汇编,专译欧美资产阶级启蒙名著,宣传资产阶级民主思想。这对革命民主思想的传播具有启蒙作用。励志会的建立,激发了广大留日学生的爱国热情,他们纷纷组织爱国团体同乡会,从事反清爱国斗争。;1992-08-28;1992;36-38;
P388;硕士;清末我国留日群体的宪法观研究;余明昊;中国人民公安大学;中国人民公安大学;"清末民初;;留日群体;;宪法观;;君主立宪";"1840年中英鸦片战争爆发,泱泱大国清王朝竟然惨败于蕞尔岛国的“英夷”之手,签下了丧权辱国的南京条约,资本主义列强纷纷效尤攫取中国特权,使得近代的中国逐步沦为半殖民地半封建社会,彼时的中国人民益发陷入水深火热之中。残酷的列强入侵逼得长期处于闭关锁国环境下的国人睁眼看世界,也如晴天霹雳惊醒了并不抱残守缺而又关心祖国命运的少数爱国忧时之士和个别官员,他们开始冷静反思,寻求解决中国困境的出路。同一时期与中国一衣带水的日本在近代通过明治维新改革,先后战胜了清帝国、俄国等,证明了自己世界强国的身份,也证明了君主立宪制于封建专制而言在当时国际环境下的优越性。而彼时的中国却是深陷内忧外患的沼泽之中,洋枪洋炮打开了中国清政府紧锁的大门,戳破了清政府“理想国”的美梦。日本国在与专制强国的俄国的战争中取得的胜利让国人看到了封建专制所带来的局限性,明白身处“数千年未有之变局”中的近代中国必须于政治体制方面积极求变,不仅要学习欧美与日本先进的军事与经济,更重要的是要引入先进的政治体制,才能改变清末清王朝积弱已久的现状。于是近代中国立宪之路正式开启,各阶层先后登上政治舞台投入到立宪的洪流之中,1901年辛丑条约签订之后,清政府迫于国内外压力于1908年制定了钦定宪法大纲等一系列宪法性文件,这也是清末立宪精神的集中体现。尽管钦定宪法大纲还保存着较为浓厚的封建集权性质,但是却首开立宪先河,制定了中国数千年历史上第一部宪法,对于中国近代的发展有着不可磨灭的影响。钦定宪法大纲与日本明治宪法在法律精神与法律文本上都高度相似,这是由于清末的立宪活动主要以师法日本为原则。师法日本而不是师法英美绝不仅仅是地理位置上的相近,更深层次的原因是,一方面日本明治宪法于英美宪法而言更强调对君权的保护,清政府在由专制政体开始向立宪政体过渡时更希望保留更多的君主权力;另一方面彼时的各留日群体较留英美群体而言人数更多、政治影响力与经济实力更强,从而对于清末的立宪活动的现实影响更大。本文具体章节安排如下:第一部分导论,界定对留日群体的具体构成以及留日群体产生的现实原因,分析各留日群体的具体组成部分,分析各组成部分所持主要宪法观及产生原因,以及对中国为何“师法日本”进行立宪改革进行具体分析。第二部分清末留日群体宪法观的形成与发展。基于第一部分对留日群体的宪法观进行定义与分类之后,进一步具体分析立宪派与革命派的形成与发展,通过分析两派典型人物代表的方式展开日本宪法观如何进入近代中国视野,日本宪法观又是如何在各留日群体中广泛传播并发展成不同的。第三部分是清末留日群体宪法观撮要。对中国近代立宪之路进行介绍与展开,并着重分析日本明治宪法对中国立宪之路的开启产生了哪些具体影响以及留日群体对外国宪法观的学习。第四部分是日本明治宪法对清末留日群体宪法观的影响。对晚清各阶层的留日群体进行具体分析,通过对各阶层形成的宪法观进行比较分析,分析在各阶层如何用具体的宪法观来争取自己利益和政治诉求,最终又是如何推动导致了清政府的下台。第五部分是日本宪法精神与清末的立宪活动。通过清末的立宪活动和法律文本的对比发现日本宪法精神在清末立宪活动中的体现和对清末立宪活动所造成的影响。";2022-04-11;2022;;
P461;硕士;简析近代中国留日、留美学生差异及其影响;张旭;东北师范大学;东北师范大学;"近代中国;留日学生;留美学生;影响;差异;比较";1872年清政府派遣首批幼童赴美留学,这是中华民族不堪落后沉沦而奋起自强的先声之一,开创了近代中国留学运动之先河。此后,负笈海外者不绝于缕,留学热潮迭起,由此崛起了一支数逾万人的留学群体。“沧海横流,方显英雄本色”,在激荡变革的近代中国,留学生是知识分子中特殊的一群。他们站在时代前沿,既传承了古老的中华文化,又亲沐了西方文明的濡染,是中国近代化历程中的先导力量。 在这支留学大军中,留日、留美学生无论是人数还是影响,都远非其他留学群体可比。两个群体特点各异,在学习生活和归国影响方面均表现出明显的差异。本文将选取1900—1929年间的中国留日、留美学生进行群体差异比较,并探索分析其相关原因。首先,比较留日、留美群体的留学生活。主要从留日、留美学生的学业成就(包括专业倾向和学业成就)及团体组织两方面进行比较分析。由此看出留日、留美群体在留学时表现的不同倾向,从而预示其归国后的主要影响必然不同。 其次,揭示留日、留美学生归国后主要影响的领域各不相同。留日学生回国后在军政两界的影响非常大,而留美生在科技学术界独领风骚。 再次,分析留日、留美学生在思想、文学、教育等相同领域里的不同特点。从中可见留日学生处处表现出有高涨的政治热情,而留美学生始终对科技学术有浓厚的兴趣。 最后分析影响留日、留美群体产生差异的主要因素。其中,对客观因素主要从清朝、民国政府的有关政策、美日两国对待中国学生的相关态度等方面进行分析。主观因素则选取具有代表性的人物,结合他们的言论来分析其群体特点。;2006-06-01;2006;;
P232;期刊;“黄金十年”与中国近代留日潮;"许宪国;";"南京工业职业技术学院基础部;";日本问题研究;"“黄金十年”;;中日关系;;留学";1895年甲午战争后结束到辛亥革命前的十余年时间,出于各自的现实需要,中日双方采取了合作的姿态,在这个背景下出现了中国近代留学日本的热潮。结合中国近代历史背景和十九世纪末二十世纪初中日关系的特点、中日双方对留学的态度和政策,对中国近代留学日本的热潮进行梳理和分析,探讨中国近代留日潮形成的原因,对理解近代中国留日现象以及近代日本对中国的影响具有深远的意义。;2008-06-20;2008;56-59+64;
P221;期刊;非理性借鉴:晚清留日运动中的“速成热”;"范蕾蕾;";"嘉应学院党政办公室;";嘉应学院学报;"非理性借鉴;;晚清;;留日运动;;速成热";"1896—1911年间,留日运动席卷中国。在这一史无前例的留日热潮中,""速成热""不断升温。由于在指导思想、政策调控及留学生个人选择等方面存在的非理性因素,这一留洋教育在某些方面并未取得预期的效果,""速""而""不成""。";2009-02-28;2009;122-125;
P145;期刊;群英荟萃的云南留日学生;"杨海若;";创造;创造;"留日学生;留学生;留学教育;";1896年,中国留学日本的大门开启时,滇东北的第一个留学生刘盛堂东渡日本,学习邻国先进的科学技术,借以改变家乡贫困落后的面貌。他的举动得到云南当局的首肯。;2012-03-15;2012;72-73;
P397;辑刊;清末留日学生与日语教科书的编刊及其影响——以唐宝锷、戢翼翚合著《东语正规》为例;"孙莹莹;";"浙江大学教育学院;";东亚学;"《东语正规》;戢翼翚;日语教科书;留日学生;唐宝锷;";1896年，甲午战争中清政府战败，在“以日为师”的口号下，清政府首次派遣13名学生赴日留学。1897年，京师同文馆增设东文馆，官方的日语教育正式开始。随后，广东同文馆、湖北自强学堂等洋务学堂也相继效仿并开设东文馆，开启了中国日语教育的新篇章。自此，日文学堂如雨后春笋般出现。因没有合适的日语教科书，当时的日文学堂或是采用“和文汉读法”和“汉文和译法”,使用中国古代已经被日本人翻译过的经典著作或使用日本的政治、经济、历史等专业书籍，;2021-04-30;2021;;
P026;期刊;日本的近代中国留日学生研究;"徐志民;";日本学刊;日本学刊;"中国留日学生;日本学界;";1896年中国留日运动开启以来,持续不断、人数众多、影响至巨的中国留日学生,成为日本学界关注的一个重要问题。随着中日关系和国际形势变化,日本的近代中国留日学生研究,经历了起步、延续、高潮三个阶段,在留日学生政策、留日学生群体、留日学生资料整理,以及留日学生就读学校、所学专业、;2021-08-10;2021;177-178;
P040;期刊;日本的近代中国留日学生研究;"徐志民;";"中国社会科学院历史理论研究所;";近代史研究;"中国留日学生;;中日关系;;学术史;;日本";1896年中国留日运动开启以来,持续不断、人数众多、影响至巨的中国留日学生,成为日本学界关注的一个重要问题。随着中日关系和国际形势变化,日本的近代中国留日学生研究,经历了起步、延续、高潮三个阶段,在留日学生政策、留日学生群体、留日学生资料整理,以及留日学生就读学校、所学专业、个案研究等方面成果丰硕。但是,宏观选题微观化和微观选题精细化趋向,且以日方资料为主,往往限制日本学界的研究视野和关注范围,容易忽略探讨近代中国留日现象的本质,陷入就事论事。因而,如何充分利用中日史料,拓宽研究视野,深化研究内容,以长时段的学术眼光和全局的、发展的、辩证的方法与理论,推进近代中国留日学生研究的广度和深度,是值得探讨的问题。;2020-01-15;2020;147-159;
P132;期刊;清末河南留日学生刊物《河南》与辛亥革命;"赵艳花;";"郑州大学文学院;";兰台世界;"留日学生;《河南》;张钟端;刘积学;同盟会;君主立宪;";"1898年,张之洞发表劝学篇,一方面强调留学教育对于开通一国风气、吸取国外先进科技知识的重要性,另一方面指出了今后留学之方向,""西洋不如东洋""。清朝政府很快采纳了张之洞的建议,对招考学生实行全额公费,鼓励自费留日,声明给予功名奖励。自此,清末留日之风逐渐开启。1905年,科举制的废除和日本对俄战争的胜利更是在全国形成了一次留学日本的热潮。据统计,1900年留日学";2012-08-06;2012;34-35;
P032;期刊;清末首批粤籍官费留日生之考察;"宋水英;李海蓉;";"广东培正学院日语系;中山大学外国语学院;";山东农业工程学院学报;"官费留日生;;粤籍;;日华学堂;;留学初期";1898年,浙江省派出了第一批官费留日生,开启了官费留学教育的先河。1899年,天津头等学堂派学数人进入日华学堂学习,其中黎科、张煜全、王建祖是粤籍人士,亦是广东省第一批非本省派出的官费生。在救国图强的时代洪流中,他们在国内学堂就读时成绩斐然,留学动机较为功利。但留日后,各自走出了不同的人生。因此,考察他们在日华学堂的校园生活及活动轨迹,将有助于认识和了解第一批粤籍官费生在留学初期的特点和动向。;2020-10-15;2020;141-145;
P270;期刊;留日学生、东游官绅与直隶省的近代化进程(1900～1928);江沛;南开大学中国社会史研究中心 天津300071;史学月刊;"留日学生;;东游官绅;;直隶省;;近代化";1900～1928年间留日学生群体、赴日考察官绅及其他人士在直隶省近代化进程中扮演了重要角色。留日学生所学专业及赴日考察官绅所关心领域表明,这一群体在制度更新、技术引进和人才培养等方面对直隶省近代化进程产生了深刻影响。在这一引入日本经验、推动直隶近代化的进程中,清末直隶总督袁世凯等人起到了关键性的作用。民初直隶省政府延续了这一作法,使以天津、北京为龙头的直隶省近代化走在了全国前列。直隶省既注重派出留学生系统吸取近代化知识体系,也注重派出官员考察力促观念转变,两相结合,有效排除了因制度与观念差异进而导致近代化进程受阻的障碍。直隶省派学生留学、派官员考察的做法,应是后发国家区域近代化进程中的成功经验之一。;2005-05-25;2005;56-66;
P057;期刊;翻译的“政治”——1900年代留日学生杂志与“输入文明学说”;"潘世圣;";"华东师范大学外国语学院;";济南大学学报(社会科学版);"留日学生运动;;输入文明学说;;翻译的“政治”";"1900年代前后,中国社会处于空前的危机之中,自洋务运动到戊戍维新到清末新政,清政府推动的改革运动艰难运行,成就不彰;革命党之暴力革命已在酝酿之中,而在这样一个历史转折关头,留日学生创办杂志,致力于""输入文明学说"",为中国社会的变革——制度变革、制度设计提供理论和方案,此既体现了他们勇于面对社会现实,寻求救亡图存之路的激情与抱负,也展现了具有此一时期特色之翻译的""政治""。";2016-11-22 10:40;2016;62-68;
P183;期刊;浅析抗战期间留日美术家退学风潮——以东京美术学校粤籍留学生为例;"徐立;";"上海大学美术学院;";美与时代(下);"美术家;留学生;抗战期间;东京美术学校;";1901-1949年东京美术学校32名粤籍留学生中,完成本科阶段学习并顺利毕业的仅有18名。造成学生中途退学的原因是多重的,其中抗日战争的爆发是最主要的原因。它一方面激发了留学生们的爱国热情,另一方面带来的时局混乱中断了留学生们的经济来源,这都引发了留日美术家退学风潮。;2011-01-25;2011;68-69;
P067;期刊;留日学生界与清末革命——以泛长江三角地区为中心;"陈健;";"河南大学历史文化学院;";河北民族师范学院学报;"留日学生;;清末革命;;泛长三角";"1901年,清政府为挽救""颓局"",开始实行新政,在教育方面的重大改革是广兴学堂,着力派遣留学生。当时大部分的留学生被派往日本,其中泛长三角地区的派遣人数占了留学生总数的近一半。由于清王朝的无可救药以及革命党人聚集日本对留学生产生的影响,众多留学生接受了革命排满思想,留日学生团体也逐渐转变为革命团体。他们为着共同的目标和使命即推翻帝制、建立共和、实现民主而紧紧团结在一起。留学生们的爱国热情、革命活动并不止于在海外摇旗呐喊,而是始终与国内新知识界遥相呼应,有不少留学生还回国参与各类革命活动。二十世纪初江、浙、沪、皖地区引人注目的革命活动正体现了海内外学子、革命志士同仇敌忾、万众一心的强大力量,他们发动学潮、组织拒法、拒俄团体以及通过自办报刊杂志广泛地宣传西方民主革命思想,在鼓荡革命风潮、推翻封建帝制,倡导民主共和方面作出了巨大贡献。";2016-02-15;2016;19-25;
P331;期刊;论留日学生在立宪运动中的作用;张学继;中国社会科学院近代史所;近代史研究;"留日学生;汪荣宝;钦选议员;宪友会;立宪派;立宪运动;";1901年1月,清政府宣布实行新政,奖励游学成为新政的一项重要内容,从而有力地刺激了留日学生运动的发展。据统计,到1904年留日学生人数达到1300人,到最高峰的1905—1906年间,更猛增至8000人。有学者估计,清末十年间,留日学生总数在2万人以上。留日学生旅居日本,深深感到中国的积弱和日本的强盛,强烈的忧患意识将他们中的大部分人推上了从事政治活动的道路。过去,史学界对留日学生与辛亥革命的关系进行了较多的研究,而对同一时期众多留日学生参与立宪运动的现象则很少有人涉及。鉴于此,本文即拟探讨留日学生在立宪运动中的作用。;1993-05-01;1993;149-166;
